date,batter_id,batter_first,batter_last,pitcher_id,pitcher_first,pitcher_last,balls,strikes,pitch_sequence
2021-07-26,14,Rafael Calcano,Devers,95,Thomas,Hatch,3,2,B.BCSFBC
2021-07-26,44,Teoscar Jose,Hernandez,76,Nicholas Johncarlo,Pivetta,1,2,SBCF*S
2021-07-26,17,Enrique J.,Hernandez,95,Thomas,Hatch,1,2,SCBS
2021-07-26,45,Bo Joseph,Bichette,76,Nicholas Johncarlo,Pivetta,0,2,CSF*S
2021-07-26,46,Reese Jackson,McGuire,76,Nicholas Johncarlo,Pivetta,2,2,CFFFFBFBC
2021-07-26,17,Enrique J.,Hernandez,95,Thomas,Hatch,1,2,1F*BFS
2021-07-26,44,Teoscar Jose,Hernandez,89,Phillips Chalier,Valdez,0,2,.SSS
2021-07-26,9,Julio Daniel,Martinez,96,Tayler Andrew,Saucedo,3,2,BFSBBS
2021-07-26,47,Cavan Thomas,Biggio,89,Phillips Chalier,Valdez,2,2,BBCF*S
2021-07-26,14,Rafael Calcano,Devers,97,Trevor,Richards,1,2,CBCS
2021-07-26,43,Franchy (Vargas),Cordero,98,Jordan Robert,Romano,0,2,.>S.SFC
2021-07-28,44,Teoscar Jose,Hernandez,61,Garrett Thomas,Richards,3,2,1BCSB1BS
2021-07-28,26,Michael Scott,Chavis,99,Robert Glenn,Ray,0,2,CFFS
2021-07-28,17,Enrique J.,Hernandez,99,Robert Glenn,Ray,3,2,*BFFFBBFS
2021-07-28,47,Cavan Thomas,Biggio,61,Garrett Thomas,Richards,0,2,CSS
2021-07-28,25,Robert Vernon,Dalbec,99,Robert Glenn,Ray,0,2,SFFS
2021-07-28,26,Michael Scott,Chavis,99,Robert Glenn,Ray,1,2,S*S*B*S
2021-07-28,44,Teoscar Jose,Hernandez,65,Yacksel,Rios,3,2,CCBF*BB*S
2021-07-28,17,Enrique J.,Hernandez,99,Robert Glenn,Ray,3,2,CSBBBC
2021-07-28,2,Dustin Hunter,Renfroe,99,Robert Glenn,Ray,3,2,BCBSBFS
2021-07-28,48,Lourdes Yunielki,Gurriel,65,Yacksel,Rios,1,2,CBFS
2021-07-28,47,Cavan Thomas,Biggio,65,Yacksel,Rios,2,2,BBFSC
2021-07-28,42,Kevin Jeffrey,Plawecki,99,Robert Glenn,Ray,0,2,CST
2021-07-28,25,Robert Vernon,Dalbec,99,Robert Glenn,Ray,1,2,SFBS
2021-07-28,49,George Chelston,Springer,68,Brandon Carlin,Workman,3,2,CSBFBBFS
2021-07-28,38,Jarren William,Duran,98,Jordan Robert,Romano,0,2,...FF*S
2021-07-28,49,George Chelston,Springer,81,Tanner,Houck,1,2,CSBS
2021-07-28,50,Vladimir Jr.,Guerrero,81,Tanner,Houck,3,2,SSBBBFC
2021-07-28,51,Marcus Andrew,Semien,81,Tanner,Houck,1,2,TSBC
2021-07-28,48,Lourdes Yunielki,Gurriel,81,Tanner,Houck,3,2,SBBBFS
2021-07-28,46,Reese Jackson,McGuire,81,Tanner,Houck,2,2,BF1FF>B.FS
